"DATE","MS04307_DEW","CALC_DEW","MS04308_VPD","CALC_VPD","CALC_SATVP","CALC_VAP"
"1996-01-10 00:00",2.2,2.2,0.7,0.63,7.79,7.16
"1996-01-11 00:00",0.3,0.87,6.1,5.35,11.86,6.51
"1996-01-12 00:00",0.4,0.66,6.2,5.69,12.1,6.41
"1996-01-13 00:00",-1.4,-0.95,4.9,4.44,10.14,5.7
"1996-01-14 00:00",2.2,2.59,2.3,2.17,9.54,7.36
"1996-01-15 00:00",4.0,4.0,0.4,0.34,8.48,8.13
"1996-01-16 00:00",0.8,0.88,0.0,0.01,6.52,6.51
"1996-01-17 00:00",-2.5,-2.46,0.2,0.22,5.32,5.1
"1996-01-18 00:00",-1.4,-1.31,0.5,0.52,6.07,5.55
"1996-01-19 00:00",0.1,0.1,0.0,0.0,6.15,6.15
"1996-01-20 00:00",-0.2,-0.2,0.0,0.0,6.02,6.02
"1996-01-21 00:00",-2.1,-2.12,0.1,0.05,5.28,5.23
"1996-01-22 00:00",-3.4,-3.41,0.3,0.26,5.01,4.76
"1996-01-23 00:00",-1.0,-1.03,0.0,0.01,5.68,5.67
"1996-01-24 00:00",-2.7,-2.69,0.0,0.0,5.01,5.02
"1996-01-25 00:00",-2.8,-2.8,0.0,0.04,5.01,4.98
"1996-01-26 00:00",-1.8,-1.8,0.4,0.37,5.72,5.36
"1996-01-27 00:00",-0.9,-0.93,0.1,0.1,5.81,5.71
"1996-01-28 00:00",-2.3,-2.29,0.0,0.0,5.16,5.17
"1996-01-29 00:00",-3.5,-3.47,0.1,0.1,4.83,4.73
"1996-01-30 00:00",-11.5,-11.42,0.7,0.72,3.28,2.56
"1996-01-31 00:00",-9.4,-9.3,1.1,1.01,4.03,3.03
"1996-02-01 00:00",-10.5,-10.28,1.0,0.88,3.68,2.81
"1996-02-02 00:00",-6.9,-6.5,1.1,0.79,4.55,3.76
"1996-02-03 00:00",-1.7,-1.6,0.8,0.72,6.15,5.44
"1996-02-04 00:00",3.5,3.61,1.3,1.17,9.09,7.91
"1996-02-05 00:00",5.3,5.31,0.9,0.82,9.74,8.91
"1996-02-06 00:00",7.0,6.93,0.2,0.17,10.14,9.96
"1996-02-07 00:00",8.1,8.19,0.5,0.44,11.31,10.85
"1996-02-08 00:00",7.8,7.81,1.0,0.87,11.46,10.58
"1996-02-09 00:00",-0.1,0.49,2.3,2.14,8.48,6.33
"1996-02-10 00:00",-4.5,-4.49,4.2,4.16,8.54,4.38
"1996-02-11 00:00",-0.2,0.11,5.0,4.48,10.64,6.16
"1996-02-12 00:00",-0.5,-0.02,7.2,6.66,12.76,6.1
"1996-02-13 00:00",-1.8,-1.28,8.8,8.07,13.64,5.56
"1996-02-14 00:00",-0.4,0.04,7.4,6.72,12.85,6.13
"1996-02-15 00:00",-0.9,-0.31,8.1,7.57,13.55,5.97
"1996-02-16 00:00",5.0,5.07,2.5,2.32,11.08,8.76
"1996-02-17 00:00",5.6,5.77,1.1,1.01,10.21,9.19
"1996-02-18 00:00",4.2,4.28,0.3,0.3,8.59,8.29
"1996-02-19 00:00",1.4,1.44,0.7,0.69,7.47,6.78
"1996-02-20 00:00",-0.8,-0.34,1.6,1.2,7.16,5.96
"1996-02-21 00:00",-2.6,-2.61,0.3,0.28,5.32,5.04
"1996-02-22 00:00",-3.4,-3.35,0.4,0.39,5.16,4.77
"1996-02-23 00:00",-2.5,-2.51,0.1,0.05,5.12,5.08
"1996-02-24 00:00",-4.8,-4.58,0.6,0.48,4.83,4.36
"1996-02-25 00:00",-7.5,-7.0,1.3,0.97,4.58,3.62
"1996-02-26 00:00",-9.0,-8.5,1.3,0.97,4.19,3.22
"1996-02-27 00:00",-8.9,-8.68,1.1,1.05,4.22,3.18
"1996-02-28 00:00",-9.7,-9.55,1.5,1.49,4.45,2.97
"1996-02-29 00:00",-5.0,-4.75,2.7,2.42,6.71,4.3
"1996-03-01 00:00",-1.8,-0.92,3.9,3.06,8.78,5.71
"1996-03-02 00:00",0.1,0.52,2.9,2.49,8.84,6.34
"1996-03-03 00:00",3.7,3.7,0.2,0.22,8.18,7.96
"1996-03-04 00:00",1.5,1.59,0.4,0.3,7.16,6.85
"1996-03-05 00:00",-0.4,-0.32,0.6,0.5,6.47,5.97
"1996-03-06 00:00",1.8,1.83,0.7,0.6,7.57,6.97
"1996-03-07 00:00",3.2,3.2,1.8,1.78,9.47,7.68
"1996-03-08 00:00",4.2,4.61,5.0,4.35,12.85,8.48
"1996-03-09 00:00",5.5,5.6,3.4,3.16,12.26,9.09
"1996-03-10 00:00",5.6,5.65,1.1,1.01,10.14,9.12
"1996-03-11 00:00",4.5,4.48,0.2,0.18,8.59,8.41
"1996-03-12 00:00",2.1,2.18,0.7,0.64,7.79,7.15
"1996-03-13 00:00",-1.5,-0.58,3.2,2.56,8.42,5.86
"1996-03-14 00:00",-1.7,-0.83,6.6,5.64,11.39,5.75
"1996-03-15 00:00",-0.3,0.12,2.8,2.49,8.66,6.16
"1996-03-16 00:00",-3.5,-2.56,4.8,3.96,9.02,5.07
"1996-03-17 00:00",-0.8,-0.35,5.0,4.4,10.35,5.95
"1996-03-18 00:00",0.4,1.49,8.3,6.83,13.64,6.8
"1996-03-19 00:00",1.7,2.01,2.0,1.83,8.9,7.06
"1996-03-20 00:00",-0.6,0.33,3.1,2.4,8.66,6.26
"1996-03-21 00:00",0.0,1.27,2.9,2.08,8.78,6.69
"1996-03-22 00:00",-0.1,-0.08,0.3,0.26,6.33,6.07
"1996-03-23 00:00",0.5,0.54,0.4,0.36,6.71,6.35
"1996-03-24 00:00",-5.0,-4.65,1.2,1.27,5.6,4.33
"1996-03-25 00:00",-8.5,-7.94,3.6,3.07,6.43,3.37
"1996-03-26 00:00",-5.1,-4.16,4.8,4.23,8.72,4.49
"1996-03-27 00:00",-0.5,-0.39,0.5,0.49,6.43,5.94
"1996-03-28 00:00",-2.5,-2.26,1.4,1.25,6.43,5.18
"1996-03-29 00:00",-1.0,-0.94,0.5,0.45,6.15,5.71
"1996-03-30 00:00",0.5,0.76,1.1,0.91,7.36,6.45
"1996-03-31 00:00",4.6,4.53,0.1,0.09,8.54,8.43
"1996-04-01 00:00",4.3,4.24,0.6,0.5,8.78,8.27
"1996-04-02 00:00",2.5,2.49,0.2,0.16,7.47,7.31
"1996-04-03 00:00",1.3,1.9,2.4,1.83,8.84,7.0
"1996-04-04 00:00",2.0,3.09,5.5,4.15,11.78,7.63
"1996-04-05 00:00",3.0,3.89,8.0,6.88,14.95,8.07
"1996-04-06 00:00",4.0,5.86,9.2,7.22,16.48,9.25
"1996-04-07 00:00",7.4,8.55,8.8,7.0,18.15,11.12
"1996-04-08 00:00",8.7,9.78,5.7,4.16,16.27,12.08
