"DATE","MS04307_DEW","CALC_DEW","MS04308_VPD","CALC_VPD","CALC_SATVP","CALC_VAP"
"1998-04-14 00:00",4.2,4.23,0.1,0.09,8.36,8.26
"1998-04-15 00:00",4.8,4.84,0.2,0.15,8.78,8.62
"1998-04-16 00:00",4.6,4.69,1.1,0.8,9.34,8.53
"1998-04-17 00:00",5.1,5.25,1.2,0.86,9.74,8.87
"1998-04-18 00:00",7.6,7.83,1.3,0.93,11.54,10.59
"1998-04-19 00:00",6.5,6.63,1.0,0.72,10.5,9.76
"1998-04-20 00:00",7.2,7.36,1.9,1.35,11.62,10.26
"1998-04-21 00:00",8.9,9.11,2.3,1.62,13.19,11.55
"1998-04-22 00:00",11.0,11.06,1.7,1.29,14.47,13.15
"1998-04-23 00:00",9.3,9.33,0.0,0.04,11.78,11.72
"1998-04-24 00:00",5.5,5.51,0.1,0.11,9.15,9.03
"1998-04-25 00:00",5.4,5.5,0.6,0.44,9.47,9.02
"1998-04-26 00:00",7.0,7.14,1.2,0.74,10.86,10.11
"1998-04-27 00:00",10.0,10.2,2.0,1.37,13.82,12.43
"1998-04-28 00:00",11.2,11.52,3.4,2.36,15.96,13.57
"1998-04-29 00:00",11.8,12.19,4.4,3.14,17.35,14.18
"1998-04-30 00:00",12.6,12.94,4.4,3.46,18.38,14.89
"1998-05-01 00:00",11.9,12.58,5.3,3.8,18.38,14.54
"1998-05-02 00:00",11.8,11.78,0.1,0.08,13.91,13.8
"1998-05-03 00:00",11.8,11.91,1.3,0.91,14.85,13.92
"1998-05-04 00:00",11.0,11.27,1.8,1.29,14.66,13.34
"1998-05-05 00:00",12.3,12.4,0.9,0.65,15.05,14.37
"1998-05-06 00:00",12.5,12.51,0.2,0.15,14.66,14.48
"1998-05-07 00:00",12.6,12.72,2.1,1.45,16.16,14.68
"1998-05-08 00:00",8.8,8.84,0.3,0.26,11.62,11.34
"1998-05-09 00:00",6.9,6.93,0.4,0.38,10.35,9.96
"1998-05-10 00:00",7.8,7.74,0.4,0.39,10.93,10.52
"1998-05-11 00:00",8.0,8.16,1.2,0.93,11.78,10.83
"1998-05-12 00:00",7.4,7.36,0.0,0.01,10.28,10.26
"1998-05-13 00:00",7.6,7.58,0.0,0.0,10.43,10.41
"1998-05-14 00:00",6.2,6.18,0.0,0.0,9.47,9.46
"1998-05-15 00:00",5.9,5.94,0.0,0.03,9.34,9.3
"1998-05-16 00:00",5.8,5.84,0.0,0.03,9.28,9.24
"1998-05-17 00:00",6.6,6.56,0.0,0.01,9.74,9.71
"1998-05-18 00:00",8.8,8.96,0.9,0.56,12.02,11.43
"1998-05-19 00:00",9.5,9.53,0.3,0.19,12.1,11.88
"1998-05-20 00:00",8.4,8.38,0.0,0.0,11.01,10.99
"1998-05-21 00:00",8.1,8.06,0.1,0.09,10.86,10.76
"1998-05-22 00:00",9.5,9.63,0.9,0.7,12.68,11.96
"1998-05-23 00:00",10.5,10.5,0.9,0.67,13.37,12.68
"1998-05-24 00:00",9.1,9.07,0.0,0.0,11.54,11.52
"1998-05-25 00:00",6.3,6.28,0.1,0.07,9.6,9.52
"1998-05-26 00:00",6.5,6.63,0.5,0.38,10.14,9.76
"1998-05-27 00:00",6.9,7.28,2.0,1.33,11.54,10.2
"1998-05-28 00:00",9.0,9.13,1.6,1.09,12.68,11.57
"1998-05-29 00:00",9.3,9.27,0.0,0.0,11.7,11.68
"1998-05-30 00:00",10.2,10.14,0.2,0.11,12.51,12.37
"1998-05-31 00:00",11.5,11.63,1.9,1.16,14.85,13.67
"1998-06-01 00:00",12.7,13.2,4.1,2.51,17.69,15.14
"1998-06-02 00:00",11.0,11.35,3.0,2.21,15.65,13.41
"1998-06-03 00:00",11.3,11.32,0.7,0.59,14.0,13.39
"1998-06-04 00:00",12.6,12.68,0.9,0.68,15.35,14.64
"1998-06-05 00:00",12.8,13.32,3.9,2.62,17.92,15.27
"1998-06-06 00:00",11.9,12.85,5.7,3.55,18.38,14.8
"1998-06-07 00:00",12.6,12.61,0.9,0.74,15.35,14.58
"1998-06-08 00:00",13.5,13.49,0.9,0.7,16.16,15.43
"1998-06-09 00:00",14.3,14.56,2.6,1.8,18.38,16.54
"1998-06-10 00:00",12.3,12.29,0.1,0.07,14.37,14.27
"1998-06-11 00:00",12.9,13.02,1.7,1.16,16.16,14.97
"1998-06-12 00:00",13.4,13.89,4.1,2.98,18.85,15.84
"1998-06-13 00:00",11.3,11.68,3.6,2.85,16.59,13.71
"1998-06-14 00:00",11.4,11.89,4.1,2.87,16.8,13.9
"1998-06-15 00:00",9.9,10.21,2.9,2.59,15.05,12.44
"1998-06-16 00:00",9.2,9.39,1.9,1.49,13.28,11.77
"1998-06-17 00:00",10.5,11.16,4.9,2.99,16.27,13.25
"1998-06-18 00:00",9.4,9.91,4.4,3.54,15.75,12.18
"1998-06-19 00:00",9.2,9.65,4.1,3.25,15.25,11.98
"1998-06-20 00:00",12.3,12.9,5.0,3.03,17.92,14.86
"1998-06-21 00:00",14.6,15.14,5.5,3.65,20.86,17.17
"1998-06-22 00:00",14.1,14.43,3.4,2.65,19.09,16.4
"1998-06-23 00:00",12.4,12.49,2.1,1.88,16.37,14.46
"1998-06-24 00:00",12.7,12.65,0.2,0.21,14.85,14.61
"1998-06-25 00:00",10.3,10.33,0.0,0.04,12.59,12.53
"1998-06-26 00:00",10.6,10.52,0.2,0.13,12.85,12.69
"1998-06-27 00:00",11.8,11.91,1.6,0.91,14.85,13.92
"1998-06-28 00:00",14.4,14.73,3.3,1.97,18.73,16.73
"1998-06-29 00:00",15.7,16.0,3.3,2.16,20.34,18.14
"1998-06-30 00:00",14.3,14.41,2.6,2.2,18.61,16.38
"1998-07-01 00:00",14.2,14.35,2.8,2.25,18.61,16.33
"1998-07-02 00:00",15.3,15.41,2.2,1.95,19.46,17.47
"1998-07-03 00:00",14.4,14.48,2.1,1.77,18.26,16.45
"1998-07-04 00:00",14.0,14.25,3.4,2.85,19.09,16.21
"1998-07-05 00:00",15.4,15.7,4.4,3.27,21.12,17.81
"1998-07-06 00:00",15.5,16.26,6.0,3.71,22.2,18.45
"1998-07-07 00:00",16.6,17.01,4.5,2.95,22.34,19.35
"1998-07-08 00:00",16.5,16.91,4.9,3.35,22.62,19.23
"1998-07-09 00:00",15.7,16.16,5.2,3.55,21.93,18.33
"1998-07-10 00:00",15.1,15.17,2.9,2.46,19.71,17.21
"1998-07-11 00:00",14.0,14.22,4.1,3.37,19.58,16.18
"1998-07-12 00:00",13.4,14.13,5.7,3.96,20.09,16.09
"1998-07-13 00:00",13.5,14.21,6.4,4.52,20.73,16.17
"1998-07-14 00:00",14.1,14.6,5.5,3.98,20.6,16.58
"1998-07-15 00:00",14.5,15.43,7.6,5.09,22.62,17.49
"1998-07-16 00:00",15.8,16.68,8.6,5.67,24.67,18.95
"1998-07-17 00:00",14.4,15.54,9.2,6.4,24.07,17.62
"1998-07-18 00:00",14.9,15.62,7.4,5.01,22.76,17.71
"1998-07-19 00:00",15.9,16.25,5.3,4.14,22.62,18.44
"1998-07-20 00:00",16.1,16.51,5.7,3.69,22.48,18.75
"1998-07-21 00:00",17.5,17.97,6.6,4.37,24.97,20.55
"1998-07-22 00:00",18.3,18.78,6.4,4.38,26.07,21.64
"1998-07-23 00:00",17.4,17.81,5.8,4.27,24.67,20.35
"1998-07-24 00:00",16.0,16.5,5.9,3.98,22.76,18.74
"1998-07-25 00:00",16.5,17.09,7.1,4.87,24.37,19.45
"1998-07-26 00:00",18.5,19.27,10.5,7.97,30.32,22.29
"1998-07-27 00:00",18.4,18.93,9.1,7.37,29.25,21.83
"1998-07-28 00:00",16.8,17.64,11.0,8.2,28.38,20.13
"1998-07-29 00:00",17.4,17.59,3.2,2.36,22.48,20.07
"1998-07-30 00:00",16.8,17.03,3.2,2.38,21.79,19.37
"1998-07-31 00:00",15.2,15.24,2.7,2.38,19.71,17.28
"1998-08-01 00:00",15.3,15.65,4.3,2.94,20.73,17.74
"1998-08-02 00:00",16.5,16.88,5.2,3.53,22.76,19.19
"1998-08-03 00:00",17.6,18.06,6.5,4.55,25.28,20.68
"1998-08-04 00:00",19.2,19.57,6.8,4.76,27.53,22.72
"1998-08-05 00:00",16.7,17.23,7.1,5.45,25.13,19.63
"1998-08-06 00:00",13.3,13.73,5.5,4.13,19.83,15.67
"1998-08-07 00:00",12.4,12.95,5.4,3.69,18.61,14.9
"1998-08-08 00:00",13.9,14.38,5.5,3.82,20.21,16.36
"1998-08-09 00:00",14.3,14.73,5.6,3.96,20.73,16.73
"1998-08-10 00:00",14.4,14.95,6.2,4.38,21.39,16.96
"1998-08-11 00:00",14.6,15.21,7.5,5.19,22.48,17.25
"1998-08-12 00:00",15.8,16.27,7.1,5.13,23.62,18.46
"1998-08-13 00:00",17.7,18.12,7.2,5.27,26.07,20.75
"1998-08-14 00:00",16.0,16.85,8.6,6.23,25.44,19.16
"1998-08-15 00:00",13.6,13.96,4.6,3.89,19.83,15.91
"1998-08-16 00:00",10.4,11.06,5.9,4.85,18.03,13.15
"1998-08-17 00:00",9.4,10.17,5.6,3.95,16.37,12.4
"1998-08-18 00:00",9.4,10.04,5.2,3.64,15.96,12.29
"1998-08-19 00:00",11.0,11.49,5.0,3.56,17.13,13.54
"1998-08-20 00:00",13.7,13.86,2.8,2.18,18.03,15.81
"1998-08-21 00:00",15.2,15.41,3.1,2.32,19.83,17.47
"1998-08-22 00:00",13.9,14.22,3.7,2.75,18.97,16.19
"1998-08-23 00:00",12.2,12.25,2.8,2.54,16.8,14.24
"1998-08-24 00:00",11.8,11.99,3.0,2.04,16.06,13.99
"1998-08-25 00:00",12.4,12.63,3.7,2.72,17.35,14.6
"1998-08-26 00:00",12.1,12.44,4.1,3.02,17.46,14.41
"1998-08-27 00:00",13.0,13.43,5.2,3.8,19.22,15.38
"1998-08-28 00:00",13.5,13.87,7.0,5.4,21.25,15.82
"1998-08-29 00:00",13.1,13.64,6.8,5.24,20.86,15.59
"1998-08-30 00:00",13.6,13.87,6.1,4.87,20.73,15.82
"1998-08-31 00:00",12.3,13.31,9.0,6.64,21.93,15.25
"1998-09-01 00:00",13.7,14.2,8.7,6.84,23.05,16.17
"1998-09-02 00:00",15.1,15.52,6.7,5.27,22.9,17.6
"1998-09-03 00:00",15.6,15.94,6.0,4.64,22.76,18.08
"1998-09-04 00:00",15.4,15.63,5.3,4.17,21.93,17.72
"1998-09-05 00:00",13.6,14.07,5.8,4.53,20.6,16.03
"1998-09-06 00:00",12.7,13.09,6.3,4.89,19.96,15.04
"1998-09-07 00:00",13.0,13.2,5.1,4.41,19.58,15.14
"1998-09-08 00:00",12.3,12.32,3.6,3.47,17.8,14.3
"1998-09-09 00:00",8.4,8.68,3.5,3.04,14.28,11.22
"1998-09-10 00:00",8.3,8.58,2.7,2.03,13.19,11.14
"1998-09-11 00:00",10.5,10.77,3.5,2.61,15.55,12.91
"1998-09-12 00:00",12.3,12.67,4.0,3.02,17.69,14.63
"1998-09-13 00:00",12.6,12.81,3.9,3.01,17.8,14.76
"1998-09-14 00:00",13.6,13.84,4.0,3.15,18.97,15.79
"1998-09-15 00:00",13.3,13.67,5.0,4.06,19.71,15.61
"1998-09-16 00:00",12.0,12.19,4.2,3.48,17.69,14.17
"1998-09-17 00:00",10.5,10.64,3.4,2.93,15.75,12.8
"1998-09-18 00:00",12.3,12.21,0.1,0.06,14.28,14.19
"1998-09-19 00:00",12.2,12.22,0.1,0.04,14.28,14.21
"1998-09-20 00:00",11.0,10.96,0.0,0.01,13.11,13.07
"1998-09-21 00:00",10.1,10.16,0.8,0.6,13.02,12.4
"1998-09-22 00:00",10.9,10.94,1.4,1.01,14.09,13.05
"1998-09-23 00:00",12.0,12.02,1.1,0.8,14.85,14.02
"1998-09-24 00:00",11.7,11.78,1.2,0.84,14.66,13.8
"1998-09-25 00:00",11.5,11.47,0.0,0.0,13.55,13.52
"1998-09-26 00:00",9.2,9.17,0.0,0.0,11.62,11.6
"1998-09-27 00:00",10.8,10.72,0.2,0.13,13.02,12.86
"1998-09-28 00:00",12.2,12.18,0.2,0.17,14.37,14.17
"1998-09-29 00:00",12.4,12.35,0.2,0.12,14.47,14.32
"1998-09-30 00:00",11.9,11.93,0.8,0.6,14.56,13.94
"1998-10-01 00:00",10.8,10.84,0.4,0.37,13.37,12.97
"1998-10-02 00:00",8.5,8.47,0.0,0.0,11.08,11.06
"1998-10-03 00:00",8.4,8.38,0.0,0.0,11.01,10.99
"1998-10-04 00:00",7.9,7.88,0.0,0.0,10.64,10.62
"1998-10-05 00:00",7.7,7.68,0.0,0.0,10.5,10.48
"1998-10-06 00:00",10.0,9.97,0.0,0.0,12.26,12.24
"1998-10-07 00:00",10.6,10.54,0.0,0.03,12.76,12.71
"1998-10-08 00:00",10.0,9.97,0.0,0.0,12.26,12.24
"1998-10-09 00:00",8.2,8.18,0.0,0.0,10.86,10.84
"1998-10-10 00:00",7.3,7.28,0.0,0.0,10.21,10.2
"1998-10-11 00:00",8.6,8.57,0.0,0.0,11.16,11.14
"1998-10-12 00:00",10.0,9.97,0.0,0.0,12.26,12.24
"1998-10-13 00:00",10.1,10.07,0.0,0.0,12.34,12.32
"1998-10-14 00:00",8.3,8.28,0.0,0.0,10.93,10.92
"1998-10-15 00:00",6.6,6.58,0.0,0.0,9.74,9.72
"1998-10-16 00:00",5.9,5.88,0.0,0.0,9.28,9.26
"1998-10-17 00:00",6.6,6.58,0.0,0.0,9.74,9.72
"1998-10-18 00:00",8.7,8.67,0.0,0.0,11.23,11.21
"1998-10-19 00:00",5.9,5.88,0.0,0.0,9.28,9.26
"1998-10-20 00:00",6.9,6.88,0.1,0.07,10.01,9.92
"1998-10-21 00:00",7.6,7.58,0.2,0.14,10.57,10.41
"1998-10-22 00:00",7.8,7.74,0.1,0.1,10.64,10.53
"1998-10-23 00:00",7.8,7.79,0.3,0.2,10.79,10.56
"1998-10-24 00:00",9.9,9.87,0.0,0.0,12.18,12.16
"1998-10-25 00:00",10.2,10.17,0.0,0.0,12.43,12.4
"1998-10-26 00:00",9.0,8.97,0.0,0.0,11.46,11.44
"1998-10-27 00:00",8.9,8.87,0.0,0.0,11.39,11.37
"1998-10-28 00:00",6.6,6.58,0.0,0.0,9.74,9.72
"1998-10-29 00:00",4.3,4.29,0.0,0.0,8.3,8.29
"1998-10-30 00:00",3.6,3.59,0.0,0.0,7.9,7.89
"1998-10-31 00:00",4.8,4.78,0.0,0.0,8.59,8.59
"1998-11-01 00:00",7.5,7.48,0.0,0.0,10.35,10.34
"1998-11-02 00:00",6.9,6.88,0.0,0.0,9.94,9.92
"1998-11-03 00:00",7.1,7.08,0.0,0.0,10.08,10.06
"1998-11-04 00:00",9.0,8.97,0.0,0.0,11.46,11.44
"1998-11-05 00:00",6.0,5.98,0.0,0.0,9.34,9.33
