"DATE","MS04307_DEW","CALC_DEW","MS04308_VPD","CALC_VPD","CALC_SATVP","CALC_VAP"
"1995-10-03 00:00",9.0,8.97,0.0,0.0,11.46,11.44
"1995-10-04 00:00",6.6,6.66,0.5,0.36,10.14,9.78
"1995-10-05 00:00",7.9,7.98,1.7,1.38,12.1,10.7
"1995-10-06 00:00",6.9,6.88,0.7,0.56,10.5,9.93
"1995-10-07 00:00",6.0,6.09,1.0,0.73,10.14,9.4
"1995-10-08 00:00",7.8,7.74,0.2,0.17,10.71,10.53
"1995-10-09 00:00",8.8,8.77,0.3,0.23,11.54,11.29
"1995-10-10 00:00",10.3,10.34,0.6,0.54,13.11,12.54
"1995-10-11 00:00",6.4,6.38,0.0,0.0,9.6,9.59
"1995-10-12 00:00",4.8,4.8,0.1,0.05,8.66,8.59
"1995-10-13 00:00",7.0,6.96,0.4,0.29,10.28,9.98
"1995-10-14 00:00",10.5,10.51,1.2,1.11,13.82,12.69
"1995-10-15 00:00",10.4,10.56,2.1,1.62,14.37,12.72
"1995-10-16 00:00",9.0,9.04,0.0,0.02,11.54,11.5
"1995-10-17 00:00",8.1,8.06,0.0,0.01,10.79,10.76
"1995-10-18 00:00",6.1,6.14,0.8,0.77,10.21,9.44
"1995-10-19 00:00",5.0,5.27,3.5,3.12,12.02,8.88
"1995-10-20 00:00",6.9,6.9,0.7,0.61,10.57,9.94
"1995-10-21 00:00",4.0,3.97,0.0,0.01,8.13,8.11
"1995-10-22 00:00",3.7,3.76,0.2,0.13,8.13,7.99
"1995-10-23 00:00",4.7,4.78,1.1,0.88,9.47,8.58
"1995-10-24 00:00",6.3,6.29,0.6,0.46,10.01,9.53
"1995-10-25 00:00",7.6,7.63,0.0,0.03,10.5,10.45
"1995-10-26 00:00",9.1,9.06,0.0,0.01,11.54,11.51
"1995-10-27 00:00",7.0,7.0,0.2,0.12,10.14,10.01
"1995-10-28 00:00",8.0,7.95,0.2,0.16,10.86,10.68
"1995-10-29 00:00",7.6,7.6,0.2,0.13,10.57,10.43
"1995-10-30 00:00",2.5,2.73,1.4,1.28,8.72,7.43
"1995-10-31 00:00",0.6,0.88,1.3,1.17,7.68,6.51
"1995-11-01 00:00",-5.7,-5.31,3.6,3.41,7.52,4.12
"1995-11-02 00:00",-1.4,-1.34,1.4,1.27,6.81,5.54
"1995-11-03 00:00",-2.5,-2.12,2.8,2.51,7.74,5.23
"1995-11-04 00:00",-0.5,-0.3,2.8,2.74,8.72,5.98
"1995-11-05 00:00",3.2,3.19,0.0,0.0,7.68,7.68
"1995-11-06 00:00",4.1,4.09,0.0,0.0,8.18,8.18
"1995-11-07 00:00",8.0,7.98,0.0,0.0,10.71,10.7
"1995-11-08 00:00",8.8,8.77,0.0,0.0,11.31,11.29
"1995-11-09 00:00",2.3,2.29,0.0,0.0,7.21,7.2
"1995-11-10 00:00",3.6,3.59,0.0,0.0,7.9,7.89
"1995-11-11 00:00",8.5,8.47,0.0,0.0,11.08,11.06
"1995-11-12 00:00",8.1,8.08,0.0,0.0,10.79,10.77
"1995-11-13 00:00",12.0,11.97,0.0,0.0,14.0,13.97
"1995-11-14 00:00",10.2,10.17,0.0,0.0,12.43,12.4
"1995-11-15 00:00",9.8,9.77,0.0,0.0,12.1,12.07
"1995-11-16 00:00",9.3,9.27,0.0,0.0,11.7,11.68
"1995-11-17 00:00",9.0,8.97,0.0,0.0,11.46,11.44
"1995-11-18 00:00",5.1,5.04,0.2,0.15,8.9,8.74
"1995-11-19 00:00",5.3,5.39,0.6,0.5,9.47,8.96
"1995-11-20 00:00",6.3,6.32,0.1,0.11,9.67,9.55
"1995-11-21 00:00",8.3,8.34,0.2,0.18,11.16,10.96
"1995-11-22 00:00",8.4,8.38,0.0,0.0,11.01,10.99
"1995-11-23 00:00",8.4,8.35,0.0,0.02,11.01,10.97
"1995-11-24 00:00",9.1,9.07,0.0,0.0,11.54,11.52
"1995-11-25 00:00",5.3,5.28,0.0,0.0,8.9,8.89
"1995-11-26 00:00",2.7,2.69,0.0,0.0,7.41,7.41
"1995-11-27 00:00",3.4,3.39,0.0,0.0,7.79,7.78
"1995-11-28 00:00",7.5,7.48,0.0,0.0,10.35,10.34
"1995-11-29 00:00",7.8,7.78,0.0,0.0,10.57,10.55
"1995-11-30 00:00",7.4,7.38,0.0,0.0,10.28,10.27
"1995-12-01 00:00",3.4,3.39,0.0,0.0,7.79,7.78
"1995-12-02 00:00",1.4,1.39,0.0,0.0,6.76,6.76
"1995-12-03 00:00",2.2,2.19,0.0,0.0,7.16,7.15
"1995-12-04 00:00",1.3,1.29,0.0,0.0,6.71,6.71
"1995-12-05 00:00",0.9,0.9,0.0,0.0,6.52,6.52
"1995-12-06 00:00",4.4,4.38,0.0,0.0,8.36,8.35
"1995-12-07 00:00",1.7,1.74,0.0,0.03,6.95,6.92
"1995-12-08 00:00",1.9,1.89,0.0,0.0,7.0,7.0
"1995-12-09 00:00",7.4,7.38,0.0,0.0,10.28,10.27
"1995-12-10 00:00",7.3,7.28,0.0,0.0,10.21,10.2
"1995-12-11 00:00",6.8,6.78,0.0,0.0,9.87,9.86
