"DATE","MS04307_DEW","CALC_DEW","MS04308_VPD","CALC_VPD","CALC_SATVP","CALC_VAP"
"1998-06-09 00:00",14.3,15.08,6.8,4.64,21.79,17.11
"1998-06-10 00:00",13.0,13.0,1.4,1.29,16.27,14.95
"1998-06-13 00:00",11.7,12.4,5.2,3.74,18.15,14.38
"1998-06-14 00:00",11.2,12.36,7.3,4.97,19.34,14.34
"1998-06-15 00:00",10.5,10.95,4.3,3.61,16.69,13.06
"1998-06-16 00:00",9.8,10.18,3.3,2.62,15.05,12.41
"1998-06-17 00:00",10.3,11.76,8.2,4.8,18.61,13.78
"1998-06-18 00:00",10.1,10.86,6.3,4.91,17.92,12.98
"1998-06-19 00:00",9.9,10.81,5.7,4.16,17.13,12.94
"1998-06-20 00:00",12.3,13.57,8.6,5.05,20.6,15.52
"1998-06-21 00:00",14.9,16.01,9.2,5.87,24.07,18.15
"1998-06-22 00:00",14.7,15.03,4.4,3.38,20.47,17.05
"1998-06-23 00:00",12.9,13.14,3.4,2.79,17.92,15.09
"1998-06-24 00:00",13.6,13.67,1.0,0.82,16.48,15.62
"1998-06-25 00:00",11.2,11.22,0.7,0.67,14.0,13.3
"1998-06-26 00:00",11.4,11.47,1.3,1.02,14.56,13.52
"1998-06-27 00:00",11.2,12.24,6.1,3.43,17.69,14.23
"1998-06-28 00:00",13.8,14.94,8.1,4.79,21.79,16.96
"1998-06-29 00:00",15.8,16.41,7.2,4.81,23.48,18.62
"1998-06-30 00:00",14.5,14.69,4.2,3.87,20.6,16.69
"1998-07-02 00:00",15.7,15.94,4.5,3.95,22.07,18.07
"1998-07-03 00:00",14.5,14.67,4.2,3.77,20.47,16.66
"1998-07-04 00:00",14.4,14.89,5.5,4.31,21.25,16.9
"1998-07-05 00:00",15.7,16.5,7.3,5.14,23.92,18.73
"1998-07-06 00:00",15.5,16.88,10.1,6.04,25.28,19.19
"1998-07-07 00:00",16.7,17.59,8.1,5.32,25.44,20.07
"1998-07-08 00:00",16.6,17.46,8.6,5.79,25.75,19.91
"1998-07-09 00:00",15.4,16.59,10.1,6.4,25.28,18.84
"1998-07-10 00:00",15.4,15.57,5.0,4.23,21.93,17.66
