"DATE","MS04307_DEW","CALC_DEW","MS04308_VPD","CALC_VPD","CALC_SATVP","CALC_VAP"
"1996-08-30 00:00",9.7,9.98,4.2,3.58,15.85,12.25
"1996-08-31 00:00",8.0,8.51,3.7,2.8,13.91,11.09
"1996-09-01 00:00",6.4,7.41,6.0,4.35,14.66,10.29
"1996-09-02 00:00",5.3,5.73,6.5,5.67,14.85,9.17
"1996-09-03 00:00",6.3,6.81,4.8,4.02,13.91,9.87
"1996-09-04 00:00",4.0,4.53,2.7,2.27,10.71,8.43
"1996-09-05 00:00",4.3,4.44,1.5,1.21,9.6,8.38
"1996-09-06 00:00",2.4,3.86,6.0,4.45,12.51,8.05
"1996-09-07 00:00",5.1,5.77,7.0,5.74,14.95,9.2
"1996-09-08 00:00",7.9,8.9,6.7,5.08,16.48,11.38
"1996-09-09 00:00",9.6,10.45,6.4,4.8,17.46,12.64
"1996-09-10 00:00",7.2,8.29,14.8,12.39,23.33,10.93
"1996-09-11 00:00",8.8,9.68,9.6,8.19,20.21,12.0
"1996-09-12 00:00",8.8,8.81,0.9,0.76,12.1,11.32
"1996-09-13 00:00",7.4,7.38,0.4,0.35,10.64,10.27
"1996-09-14 00:00",8.5,8.48,0.2,0.15,11.23,11.07
"1996-09-15 00:00",5.2,5.22,0.0,0.04,8.9,8.85
"1996-09-16 00:00",5.3,5.3,0.1,0.05,8.96,8.9
"1996-09-17 00:00",4.8,4.82,0.6,0.47,9.09,8.6
"1996-09-18 00:00",4.3,4.64,2.5,1.92,10.43,8.5
"1996-09-19 00:00",6.4,6.37,0.3,0.28,9.87,9.58
"1996-09-20 00:00",3.6,3.85,1.8,1.42,9.47,8.04
"1996-09-21 00:00",1.8,2.16,1.9,1.51,8.66,7.14
"1996-09-22 00:00",0.0,0.66,2.7,2.13,8.54,6.41
"1996-09-23 00:00",-1.6,-0.99,6.9,6.25,11.94,5.68
"1996-09-24 00:00",1.9,2.94,6.6,5.56,13.11,7.54
"1996-09-26 00:00",1.8,2.15,8.8,8.11,15.25,7.13
"1996-09-27 00:00",5.9,6.66,11.2,9.67,19.46,9.77
"1996-09-28 00:00",6.6,7.64,12.1,10.39,20.86,10.45
"1996-09-29 00:00",5.7,6.71,10.7,9.03,18.85,9.81
"1996-09-30 00:00",5.4,6.53,7.7,6.36,16.06,9.69
"1996-10-01 00:00",3.0,3.61,9.2,8.04,15.96,7.91
"1996-10-02 00:00",4.8,5.26,8.8,7.91,16.8,8.88
"1996-10-03 00:00",8.7,8.88,4.0,3.46,14.85,11.37
"1996-10-04 00:00",10.7,10.88,1.7,1.35,14.37,13.0
"1996-10-05 00:00",11.2,11.22,1.1,0.87,14.19,13.29
"1996-10-06 00:00",5.9,6.82,6.8,5.45,15.35,9.88
"1996-10-07 00:00",8.0,8.49,9.5,8.61,19.71,11.08
"1996-10-08 00:00",7.2,7.89,14.7,13.12,23.77,10.63
"1996-10-09 00:00",5.2,5.95,13.3,12.06,21.39,9.31
"1996-10-10 00:00",8.2,8.29,1.2,1.07,12.02,10.93
"1996-10-11 00:00",7.7,7.83,1.9,1.66,12.26,10.59
"1996-10-12 00:00",7.7,7.84,1.2,0.92,11.54,10.6
"1996-10-13 00:00",4.3,4.33,0.0,0.03,8.36,8.32
"1996-10-14 00:00",3.3,3.45,0.6,0.53,8.36,7.82
"1996-10-15 00:00",1.1,1.07,0.0,0.01,6.61,6.6
"1996-10-16 00:00",-1.1,-1.0,0.4,0.3,5.98,5.68
"1996-10-17 00:00",-0.8,-0.61,1.8,1.84,7.68,5.85
"1996-10-18 00:00",0.7,0.7,0.0,0.0,6.43,6.42
"1996-10-19 00:00",-1.7,-1.71,0.0,0.01,5.4,5.39
"1996-10-20 00:00",-1.0,-0.97,0.4,0.29,5.98,5.69
"1996-10-21 00:00",0.5,0.55,0.5,0.55,6.91,6.36
"1996-10-22 00:00",3.5,3.47,0.0,0.01,7.85,7.83
"1996-10-23 00:00",2.0,2.09,0.6,0.47,7.57,7.1
"1996-10-24 00:00",2.6,2.59,0.0,0.0,7.36,7.36
"1996-10-25 00:00",-0.7,-0.61,0.1,0.05,5.89,5.84
"1996-10-26 00:00",-2.6,-2.38,1.4,1.2,6.33,5.13
"1996-10-27 00:00",0.9,1.05,1.3,1.14,7.74,6.59
"1996-10-28 00:00",3.7,3.77,0.6,0.41,8.42,8.0
"1996-10-29 00:00",1.2,1.36,0.8,0.67,7.41,6.74
"1996-10-30 00:00",0.3,0.39,1.1,0.97,7.26,6.28
"1996-10-31 00:00",0.2,0.54,1.9,1.49,7.85,6.35
"1996-11-01 00:00",-1.9,-0.9,5.8,4.99,10.71,5.72
"1996-11-02 00:00",0.5,1.19,5.3,4.5,11.16,6.66
"1996-11-03 00:00",1.7,1.72,0.3,0.29,7.21,6.92
"1996-11-04 00:00",-0.8,-0.76,0.1,0.11,5.89,5.78
"1996-11-05 00:00",-2.1,-2.03,0.3,0.21,5.48,5.26
