"DATE","MS04307_DEW","CALC_DEW","MS04308_VPD","CALC_VPD","CALC_SATVP","CALC_VAP"
"1996-08-29 00:00",8.9,10.16,15.4,14.46,26.87,12.39
"1996-08-30 00:00",9.2,10.23,3.9,3.38,15.85,12.45
"1996-08-31 00:00",7.3,8.59,3.8,3.11,14.28,11.15
"1996-09-01 00:00",5.5,6.75,6.3,5.4,15.25,9.83
"1996-09-02 00:00",4.2,4.95,6.6,6.45,15.15,8.68
"1996-09-03 00:00",5.6,6.66,4.4,4.12,13.91,9.78
"1996-09-04 00:00",3.2,4.52,2.4,2.06,10.5,8.43
"1996-09-07 00:00",3.4,4.55,8.4,7.71,16.16,8.44
"1996-09-08 00:00",6.7,8.02,8.4,7.28,18.03,10.73
"1996-09-09 00:00",8.2,9.59,8.1,7.02,18.97,11.93
"1996-09-10 00:00",5.0,6.09,17.0,16.02,25.44,9.4
"1996-09-11 00:00",7.4,8.84,10.5,9.76,21.12,11.34
"1996-09-12 00:00",7.5,8.44,1.3,1.12,12.18,11.04
"1996-09-13 00:00",6.6,7.37,0.4,0.36,10.64,10.26
"1996-09-14 00:00",7.5,8.22,0.0,0.04,10.93,10.87
"1996-09-15 00:00",4.4,5.08,0.0,0.0,8.78,8.77
"1996-09-16 00:00",4.5,5.18,0.0,0.0,8.84,8.83
"1996-09-17 00:00",4.3,5.08,0.6,0.5,9.28,8.77
"1996-09-18 00:00",3.0,4.16,2.8,2.42,10.64,8.22
"1996-09-19 00:00",5.4,6.23,0.6,0.5,10.01,9.49
"1996-09-20 00:00",2.9,3.76,1.9,1.67,9.67,7.99
"1996-09-21 00:00",0.8,1.91,2.4,2.07,9.09,7.01
"1996-09-22 00:00",-1.7,0.01,3.9,3.29,9.41,6.11
"1996-09-23 00:00",-3.2,-2.15,6.9,6.64,11.86,5.22
"1996-09-24 00:00",0.0,1.45,8.1,7.59,14.37,6.78
"1996-09-25 00:00",-2.1,-0.61,9.5,8.91,14.76,5.84
"1996-09-26 00:00",-0.3,0.68,10.3,10.17,16.59,6.42
"1996-09-27 00:00",4.3,5.4,14.0,13.23,22.2,8.96
"1996-09-28 00:00",3.9,4.85,15.6,15.28,23.92,8.62
"1996-09-29 00:00",3.7,4.79,13.6,13.06,21.66,8.59
"1996-09-30 00:00",4.6,5.93,9.5,8.84,18.15,9.3
"1996-10-01 00:00",0.9,2.0,11.2,10.86,17.92,7.05
"1996-10-02 00:00",2.9,3.84,10.6,10.45,18.5,8.04
"1996-10-03 00:00",7.2,8.17,5.0,4.79,15.65,10.84
"1996-10-04 00:00",10.1,11.07,1.7,1.37,14.56,13.17
"1996-10-05 00:00",10.3,11.1,1.1,0.87,14.09,13.19
"1996-10-06 00:00",4.6,6.09,8.9,8.05,17.46,9.4
"1996-10-07 00:00",6.4,7.47,11.9,11.72,22.07,10.33
"1996-10-08 00:00",4.3,5.62,18.8,18.25,27.37,9.1
"1996-10-09 00:00",3.5,5.0,16.4,15.79,24.52,8.72
"1996-10-10 00:00",7.3,8.08,1.7,1.47,12.26,10.77
"1996-10-11 00:00",7.0,7.82,1.6,1.5,12.1,10.58
"1996-10-12 00:00",6.7,7.61,1.1,0.86,11.31,10.43
"1996-10-13 00:00",3.6,4.33,0.0,0.03,8.36,8.32
"1996-10-14 00:00",2.6,3.39,0.5,0.51,8.3,7.79
"1996-10-15 00:00",0.4,1.09,0.0,0.0,6.61,6.61
"1996-10-16 00:00",-1.6,-0.81,0.5,0.39,6.15,5.76
"1996-10-17 00:00",-4.9,-3.21,3.8,3.71,8.54,4.83
"1996-10-18 00:00",-0.2,0.5,0.0,0.0,6.33,6.33
"1996-10-19 00:00",-2.8,-2.09,0.0,0.0,5.24,5.24
"1996-10-20 00:00",-2.0,-1.03,0.9,0.71,6.38,5.67
"1996-10-21 00:00",-1.3,-0.34,1.2,1.2,7.16,5.96
"1996-10-22 00:00",2.8,3.49,0.0,0.0,7.85,7.84
"1996-10-23 00:00",1.2,2.0,0.6,0.52,7.57,7.05
